,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,actions
83,0.25,0.0669873,0.0,0.5,0.017037086,0.62940955,0.7,0.8820059,0.4296952,0.0,0.60471976,0.77544594,0.5057712,0.0,0.2749213,0.18275665,0.76183933,0.90470994,0.45348525,15
84,0.25,0.0669873,0.0,0.5,0.0,0.5,0.6666667,0.7079646,0.23500492,0.0,0.94198626,0.28961176,0.34102833,0.0,0.78593916,0.29574808,0.7762621,0.9914914,0.42722243,18
85,0.25,0.0669873,0.0,0.5,0.017037086,0.37059048,0.7,0.4660767,0.022615535,0.0,0.9439528,0.06925499,0.14165792,0.0,0.8593914,0.28356707,0.73419636,0.9992107,0.4022814,18
86,0.25,0.0669873,0.0,0.5,0.0669873,0.25,0.73333335,0.43362832,0.0,0.0,0.88593906,0.031479537,0.0,0.0,0.8520462,0.398495,0.64081603,0.99989736,0.4562263,18
87,0.25,0.0669873,0.0,0.5,0.14644662,0.14644662,0.7222222,0.32251722,0.0,0.0,0.77089477,0.018887723,0.0,0.0,0.80902416,0.274697,0.49735636,0.99995846,0.4389241,18
88,0.25,0.0669873,0.0,0.5,0.25,0.0669873,0.75555557,0.43854475,0.0,0.0,0.6155359,0.2161595,0.0,0.0,0.7324239,0.26493356,0.3169053,0.9999639,0.46787032,18
89,0.25,0.0669873,0.0,0.5,0.37059048,0.017037086,0.75555557,0.4296952,0.0,0.0,0.43067846,0.5057712,0.0,0.0,0.60860443,0.363162,0.14171301,0.99996436,0.53321856,8
90,0.25,0.0669873,0.0,0.5,0.5,0.0,0.76666665,0.23500492,0.0,0.017699115,0.23795477,0.34102833,0.0,0.054564532,0.3347324,0.49460533,0.035486236,0.86456436,0.5575048,6
91,0.25,0.0669873,0.0,0.5,0.62940955,0.017037086,0.76666665,0.022615535,0.0,0.109144546,0.021632252,0.14165792,0.0,0.049317945,0.13536201,0.3013661,0.0021252928,0.55088556,0.44311392,6
92,0.25,0.0669873,0.0,0.5,0.75,0.0669873,0.73333335,0.0,0.0,0.21435595,0.0,0.0,0.0,0.029380903,0.0,0.336596,0.0,0.23720673,0.4556717,9
93,0.25,0.0669873,0.0,0.5,0.8535534,0.14644662,0.73333335,0.0,0.0,0.34906587,0.0,0.0,0.0,0.09233998,0.0,0.60718685,0.0,0.19207339,0.62956667,9
94,0.25,0.0669873,0.0,0.5,0.9330127,0.25,0.73333335,0.0,0.0,0.3795477,0.0,0.0,0.0,0.043022037,0.0,0.55503416,0.0,0.14694005,0.6115406,9
95,0.25,0.0669873,0.0,0.5,0.9829629,0.37059048,0.7,0.0,0.0,0.60471976,0.0,0.0,0.0,0.2749213,0.0,0.16256215,0.0,0.10180672,0.47588634,9
96,0.25,0.0669873,0.0,0.5,1.0,0.5,0.75555557,0.0,0.017699115,0.94198626,0.0,0.0,0.054564532,0.78593916,0.0,0.15673181,0.0,0.056673393,0.47387114,9
97,0.25,0.0669873,0.14644662,0.14644662,0.9829629,0.62940955,0.64444447,0.0,0.109144546,0.9439528,0.0,0.0,0.049317945,0.8593914,0.0,0.15439159,0.0,0.011540062,0.47306228,3
98,0.25,0.0669873,0.14644662,0.14644662,0.9330127,0.75,0.7,0.0,0.21435595,0.88593906,0.0,0.0,0.029380903,0.8520462,0.0,0.14190134,0.0,0.0,0.4787149,3
99,0.25,0.0669873,0.14644662,0.14644662,0.8535534,0.8535534,0.6111111,0.0,0.34906587,0.77089477,0.0,0.0,0.09233998,0.80902416,0.0,0.17234033,0.0,0.0,0.49266073,3
100,0.25,0.0669873,0.14644662,0.14644662,0.75,0.9330127,0.5888889,0.0,0.3795477,0.6155359,0.0,0.0,0.043022037,0.7324239,0.0,0.25187147,0.0,0.0,0.5201499,3
101,0.25,0.0669873,0.14644662,0.14644662,0.62940955,0.9829629,0.5888889,0.0,0.60471976,0.43067846,0.0,0.0,0.2749213,0.60860443,0.0,0.14990503,0.0,0.0,0.48490617,9
102,0.25,0.0669873,0.14644662,0.14644662,0.5,1.0,0.5888889,0.017699115,0.94198626,0.23795477,0.0088495575,0.054564532,0.78593916,0.3347324,0.0,0.14064716,0.038203202,0.0,0.47485942,10
103,0.25,0.0669873,0.14644662,0.14644662,0.37059048,0.9829629,0.5888889,0.109144546,0.9439528,0.021632252,0.14159292,0.049317945,0.8593914,0.13536201,0.17628542,0.15926841,0.21633966,0.037460666,0.46276438,11
104,0.25,0.0669873,0.14644662,0.14644662,0.25,0.9330127,0.54444444,0.21435595,0.88593906,0.0,0.1494592,0.029380903,0.8520462,0.0,0.011542497,0.14880055,0.40652734,0.14984266,0.45184976,12
105,0.25,0.0669873,0.14644662,0.14644662,0.14644662,0.8535534,0.5222222,0.34906587,0.77089477,0.0,0.41986233,0.09233998,0.80902416,0.0,0.22035676,0.13023086,0.5796511,0.33714598,0.44119304,13
106,0.25,0.0669873,0.14644662,0.14644662,0.0669873,0.75,0.64444447,0.3795477,0.6155359,0.0,0.6076696,0.043022037,0.7324239,0.0,0.35991606,0.13864931,0.7044849,0.6012553,0.44851914,13
107,0.25,0.0669873,0.14644662,0.14644662,0.017037086,0.62940955,0.62222224,0.60471976,0.43067846,0.0,0.79646015,0.2749213,0.60860443,0.0,0.6002099,0.431219,0.7753532,0.8653646,0.53694195,15
108,0.25,0.0669873,0.14644662,0.14644662,0.0,0.5,0.56666666,0.94198626,0.23795477,0.0,0.8603737,0.78593916,0.3347324,0.0,0.62224555,0.122119196,0.7890659,0.9879824,0.37772834,18
109,0.25,0.0669873,0.14644662,0.14644662,0.017037086,0.37059048,0.56666666,0.9439528,0.021632252,0.0,0.6656834,0.8593914,0.13536201,0.0,0.27177334,0.16954727,0.7447518,0.99888945,0.3621196,19
110,0.25,0.0669873,0.14644662,0.14644662,0.0669873,0.25,0.62222224,0.88593906,0.0,0.0,0.77286136,0.8520462,0.0,0.0,0.521511,0.52704704,0.64665705,0.99985963,0.49971366,15
111,0.25,0.0669873,0.14644662,0.14644662,0.14644662,0.14644662,0.56666666,0.77089477,0.0,0.0,0.69911504,0.80902416,0.0,0.0,0.59706193,0.191261,0.5038743,0.99994594,0.4089261,15
112,0.25,0.0669873,0.14644662,0.14644662,0.25,0.0669873,0.56666666,0.6155359,0.0,0.0,0.51720744,0.7324239,0.0,0.0,0.45750263,0.49663997,0.32441247,0.9999536,0.5466128,18
113,0.25,0.0669873,0.14644662,0.14644662,0.37059048,0.017037086,0.64444447,0.43067846,0.0,0.0,0.35004917,0.60860443,0.0,0.0,0.34942287,0.24454764,0.14432111,0.9999543,0.49175325,5
114,0.25,0.0669873,0.14644662,0.14644662,0.5,0.0,0.6666667,0.23795477,0.0,0.0088495575,0.18977384,0.3347324,0.0,0.0,0.204617,0.28797266,0.0323622,0.8282908,0.4758818,8
115,0.25,0.0669873,0.14644662,0.14644662,0.62940955,0.017037086,0.7,0.021632252,0.0,0.14159292,0.01671583,0.13536201,0.0,0.17628542,0.08079748,0.20033969,0.0010176792,0.6928908,0.46197215,6
116,0.25,0.0669873,0.14644662,0.14644662,0.75,0.0669873,0.73333335,0.0,0.0,0.1494592,0.0,0.0,0.0,0.011542497,0.0,0.37029684,0.0,0.379212,0.46732008,9
117,0.25,0.0669873,0.14644662,0.14644662,0.8535534,0.14644662,0.75555557,0.0,0.0,0.41986233,0.0,0.0,0.0,0.22035676,0.0,0.13218698,0.0,0.33407867,0.46538746,9
118,0.25,0.0669873,0.14644662,0.14644662,0.9330127,0.25,0.76666665,0.0,0.0,0.6076696,0.0,0.0,0.0,0.35991606,0.0,0.13231952,0.0,0.28894535,0.46543327,9
119,0.25,0.0669873,0.14644662,0.14644662,0.9829629,0.37059048,0.76666665,0.0,0.0,0.79646015,0.0,0.0,0.0,0.6002099,0.0,0.10587133,0.0,0.24381201,0.4562917,9
120,0.25,0.0669873,0.14644662,0.14644662,1.0,0.5,0.82222223,0.0,0.0088495575,0.8603737,0.0,0.0,0.0,0.62224555,0.0,0.34457883,0.0,0.19867867,0.5387987,9
121,0.25,0.0669873,0.5,0.0,0.9829629,0.62940955,0.82222223,0.0,0.14159292,0.6656834,0.0,0.0,0.17628542,0.27177334,0.0,0.16032869,0.0,0.15354533,0.47511438,8
122,0.25,0.0669873,0.5,0.0,0.9330127,0.75,0.85555553,0.0,0.1494592,0.77286136,0.0,0.0,0.011542497,0.521511,0.0,0.15951875,0.0,0.018145343,0.44804516,3
123,0.25,0.0669873,0.5,0.0,0.8535534,0.8535534,0.82222223,0.0,0.41986233,0.69911504,0.0,0.0,0.22035676,0.59706193,0.0,0.1472175,0.0,0.0,0.4785921,3
124,0.25,0.0669873,0.5,0.0,0.75,0.9330127,0.82222223,0.0,0.6076696,0.51720744,0.0,0.0,0.35991606,0.45750263,0.0,0.18313707,0.0,0.0,0.49639252,3
125,0.25,0.0669873,0.5,0.0,0.62940955,0.9829629,0.82222223,0.0,0.79646015,0.35004917,0.0,0.0,0.6002099,0.34942287,0.0,0.18254556,0.0,0.0,0.49618807,1
126,0.25,0.0669873,0.5,0.0,0.5,1.0,0.7777778,0.0088495575,0.8603737,0.18977384,0.020648967,0.0,0.62224555,0.204617,0.13221405,0.21808717,0.039822023,0.0,0.5013357,1
127,0.25,0.0669873,0.5,0.0,0.37059048,0.9829629,0.7222222,0.14159292,0.6656834,0.01671583,0.17502458,0.17628542,0.27177334,0.08079748,0.40608606,0.20690756,0.22057606,0.0,0.46507654,1
