,a
147,0.4287659
148,0.18097043
149,0.19263649
150,0.07313621
151,0.24676776
152,0.14972794
153,0.66976225
154,0.6970192
155,0.90716356
156,0.81677395
157,0.6875371
158,0.64706993
159,0.91777694
160,0.41288227
161,0.39930227
162,0.038078398
163,0.07092172
164,0.3845757
165,0.25269148
166,0.13644522
167,0.44983104
168,0.2481381
169,0.45100108
170,0.011421144
171,0.049476177
172,0.11697343
173,0.48394448
174,0.51399857
175,0.57485926
176,0.62453383
177,0.70558035
178,0.6400645
179,0.80529314
180,0.8595469
181,0.6741029
182,0.6796005
183,0.6458926
184,0.43377888
185,0.4590864
186,0.35480776
187,0.36359954
188,0.39377892
189,0.3119589
190,0.20973402
191,0.08499235
192,0.07465589
193,0.45115975
194,0.22850764
195,0.16318005
196,0.20020884
197,0.1827054
198,0.46193567
199,0.56627667
200,0.6123165
201,0.7535783
202,0.7637211
203,0.86217725
204,0.9512252
205,0.93359005
206,0.6671268
207,0.5047595
208,0.38512015
209,0.38695922
210,0.3693701
211,0.4215265
212,0.26225382
213,0.17315823
214,0.03522843
215,0.02409929
216,0.4300773
217,0.39372638
218,0.4810656
219,0.13822174
220,0.13642746
221,0.19654083
222,0.23953637
223,0.55214345
224,0.61840594
225,0.6661025
226,0.67521155
227,0.75176
228,0.6505151
229,0.6144252
230,0.60796976
231,0.2657867
232,0.42569494
233,0.4063894
234,0.24175721
235,0.37022197
236,0.39608318
237,0.22547007
238,0.11524463
239,0.013890833
240,0.31963754
241,0.028056175
242,0.5000302
243,0.15775907
244,0.022724569
245,0.48738062
246,0.2616347
247,0.55217546
248,0.61375713
249,0.7113891
250,0.62937057
251,0.73792267
252,0.6303894
253,0.6258401
254,0.25736147
255,0.2630375
256,0.21519601
257,0.38438076
258,0.38712484
259,0.404462
260,0.41306642
261,0.1971196
262,0.06203586
263,0.4558165
264,0.40237504
265,0.31083357
266,0.34417093
267,0.3405769
268,0.32614598
269,0.50094295
270,0.24234259
271,0.20623869
272,0.61548376
273,0.6661911
274,0.71624947
275,0.969226
276,0.71133417
277,0.74774003
278,0.2533602
279,0.5880549
280,0.4161569
281,0.36593893
282,0.3215977
283,0.35785815
284,0.36161718
285,0.04100117
286,0.03846702
287,0.4136364
288,0.28514674
289,0.10516071
290,0.2761013
291,0.349886
292,0.3082733
293,0.4505634
294,0.15902543
295,0.57333785
296,0.5808716
297,0.6382222
298,0.68709224
299,0.90636486
300,0.6829524
301,0.5914625
302,0.61918724
303,0.86502063
304,0.2337229
305,0.4191867
306,0.4038534
307,0.367059
308,0.35049242
309,0.37860927
310,0.020705134
311,0.4017273
312,0.066393256
313,0.1640242
314,0.2176606
315,0.033700883
316,0.07661468
317,0.10973653
318,0.21983638
319,0.63008285
320,0.093666315
321,0.66562086
322,0.7104385
323,0.6886793
324,0.6808639
325,0.645139
326,0.45874313
327,0.5426191
328,0.3643816
329,0.23483112
330,0.26824528
331,0.3742347
332,0.38501483
333,0.43504748
334,0.13576522
335,0.114738464
336,0.42129353
337,0.41736156
338,0.36393297
339,0.21930087
340,0.41046497
341,0.48172882
342,0.25488645
343,0.07881677
344,0.6157428
345,0.6013232
346,0.6411099
347,0.9488849
348,0.7894195
349,0.92214984
350,0.80557925
351,0.6202599
352,0.39332992
353,0.37359902
354,0.37614104
355,0.24364811
356,0.3482766
357,0.20872104
358,0.17204803
359,0.18447113
360,0.21163791
361,0.014162749
362,0.47394937
363,0.033483863
364,0.17580137
365,0.11633679
366,0.46438703
367,0.5652029
368,0.71985674
369,0.6360484
370,0.6314636
371,0.72148055
372,0.68027633
373,0.7000689
374,0.20629436
375,0.5838389
376,0.3756993
377,0.26741266
378,0.35489678
379,0.21731275
380,0.24082583
381,0.1325205
382,0.21910718
383,0.02904895
384,0.08557963
385,0.45195618
386,0.2297126
387,0.4201007
388,0.24279791
389,0.034582794
390,0.63775885
391,0.6060412
392,0.62789553
393,0.6554399
394,0.6469905
395,0.619195
396,0.5905055
397,0.56422216
398,0.72522527
399,0.57641155
400,0.39205098
401,0.3390451
402,0.34987736
403,0.3986172
404,0.24408534
405,0.14682794
406,0.10035381
407,0.42076874
408,0.29962772
409,0.048588812
410,0.45586953
411,0.5566016
412,0.31104708
413,0.6564014
414,0.5780151
415,0.6333294
416,0.25286496
417,0.66027224
418,0.67448646
419,0.68399394
420,0.6954611
421,0.54722166
422,0.26779628
423,0.10025263
424,0.3752731
425,0.3561706
426,0.3464173
427,0.40451348
428,0.036073536
429,0.010522813
430,0.3876057
431,0.3948055
432,0.5106666
433,0.31410262
434,0.39972106
435,0.43131804
436,0.46625322
437,0.5341833
438,0.24688426
439,0.5277382
440,0.564263
441,0.70811605
442,0.61650217
443,0.7279758
444,0.59142286
445,0.62709665
446,0.6610857
447,0.26181936
448,0.2452032
449,0.121316254
450,0.26542896
451,0.3838587
452,0.25445855
453,0.17498988
454,0.45412666
455,0.40936944
456,0.0064602196
457,0.38051277
458,0.28274697
459,0.37514013
460,0.24676368
461,0.25878584
462,0.24790597
463,0.25899416
464,0.17251366
465,0.7035404
466,0.5727784
467,0.63321066
468,0.61165875
469,0.7362931
470,0.69017214
471,0.7422723
472,0.42294407
473,0.38946694
474,0.37432164
475,0.37429148
476,0.26779586
477,0.4393954
478,0.46237957
479,0.084044755
480,0.1171006
481,0.39012632
482,0.06505364
483,0.18841133
484,0.25988495
485,0.22728276
486,0.53817946
487,0.24007767
488,0.64675903
489,0.6824663
490,0.26191783
491,0.7753841
492,0.77681226
493,0.79065824
494,0.59339255
495,0.47382933
496,0.48567584
497,0.40556017
498,0.4247098
499,0.3936064
500,0.17651093
501,0.2441667
502,0.22427803
503,0.22766593
504,0.028141856
505,0.10221478
506,0.029516786
507,0.044136137
508,0.20860317
509,0.21877772
510,0.51340723
511,0.5528495
512,0.6119398
513,0.24640012
514,0.6744975
515,0.6492723
516,0.7143805
517,0.71418774
518,0.66480005
519,0.6001276
520,0.42914888
521,0.37555605
522,0.36610848
523,0.257595
524,0.38154984
525,0.013906121
526,0.01647994
527,0.12191051
528,0.3734002
529,0.089185
530,0.17621803
531,0.24416125
532,0.07255849
533,0.59006137
534,0.091686964
535,0.22657573
536,0.16372097
537,0.69004303
538,0.62793994
539,0.6550925
540,0.9624836
541,0.93532026
542,0.86877775
543,0.49729052
544,0.42745322
545,0.38045838
546,0.3438517
547,0.42239696
548,0.24875632
549,0.4302369
550,0.4893542
551,0.09385759
552,0.36378577
553,0.35757595
554,0.5790496
555,0.43748924
556,0.53118795
557,0.21284747
558,0.5953928
559,0.6122849
560,0.6847253
561,0.6001687
562,0.6590427
563,0.7794453
564,0.87587
565,0.9591229
566,0.82258916
567,0.6612927
568,0.4681003
569,0.48811406
570,0.33217478
571,0.26453984
572,0.2354703
573,0.11984122
574,0.4154002
575,0.41952085
576,0.020815462
577,0.37403196
578,0.19361094
579,0.10631457
580,0.38259637
581,0.050384432
582,0.25668967
583,0.59347624
584,0.6000436
585,0.5845924
586,0.62652004
587,0.6872817
588,0.86093765
589,0.24829215
590,0.24558261
591,0.18890929
592,0.4524768
593,0.25009584
594,0.4238813
595,0.41151217
596,0.3807436
597,0.22073656
598,0.45447856
599,0.027244985
600,0.39422882
601,0.29917803
602,0.026375026
603,0.2115581
604,0.22202271
605,0.32982534
606,0.07070601
607,0.52510196
608,0.53504515
609,0.5770225
610,0.6497371
611,0.6983244
612,0.6631348
613,0.6597893
614,0.8471003
615,0.5737516
616,0.4362133
617,0.41949344
618,0.3656363
619,0.3897156
620,0.40088192
621,0.18154332
622,0.035260618
623,0.09183362
624,0.0031715333
625,0.052339733
626,0.35284376
627,0.41190112
628,0.37330198
629,0.03582722
630,0.48287198
631,0.5300499
632,0.55277425
633,0.6991699
634,0.726169
635,0.6293373
636,0.7271303
637,0.6139085
638,0.6111116
639,0.20211124
640,0.4521074
641,0.41484198
642,0.39519274
643,0.36574474
644,0.23064536
645,0.0883711
646,0.48354465
647,0.48388878
648,0.15582311
649,0.25199872
650,0.092000306
651,0.041044712
652,0.30516857
653,0.058943063
654,0.5007964
655,0.55024546
656,0.1206719
657,0.687393
658,0.6343681
659,0.709482
660,0.62725055
661,0.6854435
662,0.6401248
663,0.18805814
664,0.26657355
665,0.25528502
666,0.035480887
667,0.38769037
668,0.41593653
669,0.2664746
670,0.1553986
671,0.26245716
672,0.05372882
673,0.36922565
674,0.015131474
675,0.22802648
676,0.26409644
677,0.23189542
678,0.059259683
679,0.23014817
680,0.6192677
681,0.57871646
682,0.25747603
683,0.22621047
684,0.22934419
685,0.25543892
686,0.9230215
687,0.49027282
688,0.37256584
689,0.35898674
690,0.32206446
691,0.25737423
692,0.07073963
693,0.04880458
694,0.26151907
695,0.26758656
696,0.21246624
697,0.12330404
698,0.44267187
699,0.15220484
700,0.21554393
701,0.2289058
702,0.26049522
703,0.5521478
704,0.5578187
705,0.71919143
706,0.64195
707,0.9488645
708,0.8096841
709,0.9615803
710,0.8128692
711,0.25523823
712,0.43009758
713,0.25434285
714,0.34935403
715,0.26862037
716,0.24158838
717,0.092799306
718,0.077694386
719,0.2505629
720,0.055510134
721,0.119864225
722,0.19218537
723,0.23861179
724,0.53260386
725,0.49217674
726,0.2563433
727,0.6209998
728,0.6717874
729,0.60895467
730,0.61625427
731,0.7710179
732,0.84091794
733,0.7680477
734,0.8998755
735,0.6183232
736,0.44115162
737,0.43339345
738,0.2622124
739,0.399977
740,0.34896562
741,0.056913853
742,0.3603441
743,0.026594609
744,0.05920562
745,0.363797
746,0.39767903
747,0.23081881
748,0.04700917
749,0.38724488
750,0.41199484
751,0.24978563
752,0.58823836
753,0.7164767
754,0.6655836
755,0.6771827
756,0.70732266
757,0.5815464
758,0.5347343
759,0.52946055
760,0.449689
761,0.37054673
762,0.21996552
763,0.35304326
764,0.24506474
765,0.30539072
766,0.28470242
767,0.05551085
768,0.021916091
769,0.39916903
770,0.28673884
771,0.17110029
772,0.34038663
773,0.3908172
774,0.14712885
775,0.25803337
776,0.62284935
777,0.64421123
778,0.67473954
779,0.6191175
780,0.61309135
781,0.65537477
782,0.55973303
783,0.57069826
784,0.42688835
785,0.4054299
786,0.37402964
787,0.2114461
788,0.34041384
789,0.034449905
790,0.41486496
791,0.040242553
792,0.29207096
793,0.38380587
794,0.45460787
795,0.44948006
796,0.22804385
797,0.26660624
798,0.44498673
799,0.24617615
800,0.21146047
801,0.60437256
802,0.645183
803,0.6381359
804,0.70538235
805,0.6879738
806,0.64024943
807,0.5181965
808,0.4417139
809,0.40989006
810,0.3498019
811,0.011500031
812,0.027112514
813,0.4383225
814,0.3739541
815,0.32206562
816,0.44473267
817,0.44046974
818,0.10013744
819,0.40030867
820,0.25518495
821,0.13535798
822,0.17135054
823,0.10169101
824,0.59572357
825,0.614732
826,0.5759052
827,0.56358075
828,0.6057676
829,0.6534665
830,0.5168703
831,0.49670267
832,0.48044634
833,0.41385302
834,0.3793413
835,0.06936577
836,0.38294148
837,0.48698154
838,0.46903288
839,0.36212605
840,0.2429254
841,0.09814572
842,0.1762827
843,0.19523224
844,0.042897582
845,0.038882792
846,0.26768064
847,0.059447855
848,0.036783665
849,0.19258583
850,0.6425935
851,0.70393777
852,0.65823334
853,0.6794696
854,0.565632
855,0.60323626
856,0.47254172
857,0.41229182
858,0.42952275
859,0.3517988
860,0.35850224
861,0.26924706
862,0.4364218
863,0.39358103
864,0.39829627
865,0.13720036
866,0.15730116
867,0.051398754
868,0.46753448
869,0.5258992
870,0.20295435
871,0.20765352
872,0.60782605
873,0.6788148
874,0.640452
875,0.6318021
876,0.67189574
877,0.6534661
878,0.5455864
879,0.47621065
880,0.42284667
881,0.342642
882,0.39972588
883,0.38727614
884,0.37878424
885,0.13621318
886,0.26290375
887,0.2550696
888,0.24695575
889,0.15425181
890,0.44073564
891,0.48223904
892,0.40911832
893,0.57992995
894,0.09712279
895,0.5575241
896,0.672099
897,0.7535348
898,0.6465374
899,0.71666014
900,0.58846045
901,0.61914444
902,0.50698537
903,0.5131196
904,0.5804424
905,0.42397255
906,0.07373673
907,0.37447512
908,0.25013018
909,0.43683144
910,0.57706517
911,0.38343498
912,0.15436965
913,0.27644378
914,0.2978998
915,0.44358918
916,0.39878878
917,0.09065959
918,0.6661795
919,0.2528947
920,0.60627365
921,0.6544188
922,0.65720695
923,0.62621534
924,0.57462263
925,0.53070927
926,0.4943259
927,0.48231894
928,0.4028952
929,0.265827
930,0.2385925
931,0.3617257
932,0.23986608
933,0.3114522
934,0.32729125
935,0.29746523
936,0.10729593
937,0.3165394
938,0.35652494
939,0.3282804
940,0.2781902
941,0.44226345
942,0.022458524
943,0.559317
944,0.6266244
945,0.6608229
946,0.6303866
947,0.6484178
948,0.5796232
949,0.5541573
950,0.16901705
951,0.4961313
952,0.461551
953,0.38872278
954,0.37951458
955,0.23606744
956,0.24399254
957,0.40632772
958,0.4072332
959,0.3682601
960,0.004296243
961,0.34510082
962,0.3609903
963,0.048071533
964,0.4064752
965,0.43233508
966,0.43492642
967,0.16417184
968,0.17171517
969,0.6034247
970,0.7191202
971,0.6056717
972,0.6522801
973,0.5482635
974,0.5495682
975,0.45573458
976,0.42141026
977,0.36287278
978,0.34317517
979,0.37273258
980,0.24777284
981,0.05519107
982,0.37949455
983,0.33561277
984,0.34734342
985,0.3529309
986,0.41977745
987,0.11795196
988,0.08846763
989,0.24806374
990,0.120696306
991,0.066918045
992,0.05822584
993,0.5886061
994,0.62687314
995,0.58832544
996,0.68697655
997,0.56969225
998,0.48275307
999,0.5582135
1000,0.44996086
1001,0.26496506
1002,0.39874354
1003,0.40564352
1004,0.38331765
1005,0.4438436
1006,0.45932898
1007,0.30633563
1008,0.3997676
1009,0.4101451
1010,0.21514374
1011,0.2524655
1012,0.41255006
1013,0.49702772
1014,0.051677853
1015,0.12773398
1016,0.16878897
1017,0.07499874
1018,0.62667465
1019,0.72407836
1020,0.67290044
1021,0.6744183
1022,0.1713618
1023,0.5080389
1024,0.400214
1025,0.37505472
1026,0.35096216
1027,0.25560117
1028,0.26729587
1029,0.3617412
1030,0.3356651
1031,0.3609677
1032,0.38733646
1033,0.037377685
1034,0.26103452
1035,0.12788701
1036,0.14586133
1037,0.4225902
1038,0.5928478
1039,0.6452883
1040,0.03354752
1041,0.025853872
1042,0.5094693
1043,0.43165812
1044,0.5669794
1045,0.48302278
1046,0.49217954
1047,0.52994263
1048,0.43738446
1049,0.40315634
1050,0.41651887
1051,0.38422936
1052,0.3608849
1053,0.36159483
1054,0.2998778
1055,0.38702706
1056,0.43201494
1057,0.4321968
1058,0.2351614
1059,0.24829099
1060,0.36548734
1061,0.5654262
1062,0.058512747
1063,0.10735014
1064,0.24741495
1065,0.7006607
1066,0.6753409
1067,0.66633165
1068,0.11984745
1069,0.66585815
1070,0.58842754
1071,0.48781377
1072,0.46409118
1073,0.44992915
1074,0.42094895
1075,0.41545293
1076,0.43104056
1077,0.49009076
1078,0.32887882
1079,0.3897008
1080,0.14612639
1081,0.09855053
1082,0.24817461
1083,0.24150881
1084,0.29222897
1085,0.48556453
1086,0.5420304
1087,0.09316704
1088,0.62830794
1089,0.71958995
1090,0.6797615
1091,0.6707475
1092,0.64652026
1093,0.56652397
1094,0.6038196
1095,0.5442159
1096,0.4609367
1097,0.08518985
1098,0.11766338
1099,0.41260993
1100,0.38847136
1101,0.47490832
1102,0.40589404
1103,0.44723874
1104,0.083745
1105,0.022385925
1106,0.18763769
1107,0.24500728
1108,0.3502195
1109,0.5239941
1110,0.22150159
1111,0.53818804
1112,0.6056431
1113,0.67123765
1114,0.71075267
1115,0.73381186
1116,0.63126487
1117,0.58759475
1118,0.25166604
1119,0.48917288
1120,0.40206468
1121,0.24856809
1122,0.061694622
1123,0.21150678
1124,0.21876168
1125,0.07256618
1126,0.023115784
1127,0.4785614
1128,0.011575282
1129,0.44661704
1130,0.42185563
1131,0.05891317
1132,0.32830414
1133,0.4003628
1134,0.18250406
1135,0.5770412
1136,0.6063764
1137,0.6348071
1138,0.6827433
1139,0.65894353
1140,0.57671267
1141,0.6055912
1142,0.4839846
1143,0.22787988
1144,0.3291652
1145,0.26431036
1146,0.37130594
1147,0.37583536
1148,0.3724594
1149,0.057683855
1150,0.39287543
1151,0.010437667
1152,0.39526105
1153,0.37847918
1154,0.3611145
1155,0.1803081
1156,0.1322484
1157,0.119793385
1158,0.2507766
1159,0.60651904
1160,0.6853658
1161,0.6905618
1162,0.6018367
1163,0.62225914
1164,0.6531239
1165,0.6527204
1166,0.5125939
1167,0.5446146
1168,0.37980318
1169,0.38353026
1170,0.41409448
1171,0.16224784
1172,0.40623692
1173,0.25274414
1174,0.24683589
1175,0.14463145
1176,0.46584168
1177,0.09963697
1178,0.03485632
1179,0.024174541
1180,0.36213765
1181,0.4524142
1182,0.06344402
1183,0.089722276
1184,0.69275194
1185,0.17878246
1186,0.6500979
1187,0.6618246
1188,0.5322458
1189,0.09569046
1190,0.5418308
1191,0.21498483
1192,0.3859979
1193,0.44150984
1194,0.24541506
1195,0.25919405
1196,0.26828682
1197,0.16220352
1198,0.26513126
1199,0.31963313
1200,0.10686135
1201,0.1321209
1202,0.08115858
1203,0.26458254
1204,0.40093842
1205,0.5308784
1206,0.6358119
1207,0.14295876
1208,0.25918603
1209,0.21099842
1210,0.6257436
1211,0.6507329
1212,0.43191668
1213,0.4324461
1214,0.2688626
1215,0.4557585
1216,0.387125
1217,0.4039665
1218,0.45380643
1219,0.36156663
1220,0.2544701
1221,0.22676545
1222,0.21329802
1223,0.16128808
1224,0.14941329
1225,0.5079204
1226,0.12850755
1227,0.22897506
1228,0.34559005
1229,0.43783888
1230,0.23275036
1231,0.85675013
1232,0.6798526
1233,0.71846926
1234,0.56958455
1235,0.6611553
1236,0.56660277
1237,0.5628917
1238,0.4452599
1239,0.18098849
1240,0.36472455
1241,0.26710534
1242,0.33281642
1243,0.40648323
1244,0.41364607
1245,0.016644001
1246,0.8212004
1247,0.3675019
1248,0.707893
1249,0.41532657
1250,0.078620434
1251,0.16768837
1252,0.44871718
1253,0.21455371
1254,0.56271785
1255,0.12819421
1256,0.53503364
1257,0.63346624
1258,0.68710333
1259,0.6637115
1260,0.5955423
1261,0.2593856
1262,0.5730335
1263,0.57878774
1264,0.45416635
1265,0.36109826
1266,0.26705766
1267,0.38176718
1268,0.26467362
1269,0.35953844
1270,0.18677706
1271,0.47147572
1272,0.17791897
1273,0.036889076
1274,0.0911977
1275,0.4666243
1276,0.40184617
1277,0.35098404
1278,0.26737106
1279,0.69434184
1280,0.23959553
1281,0.72031385
1282,0.6726686
1283,0.7439396
1284,0.68622184
1285,0.66879386
1286,0.58400905
1287,0.5301655
1288,0.44593012
1289,0.42962876
1290,0.23800358
1291,0.05481875
1292,0.18233857
1293,0.01772675
1294,0.01455161
1295,0.39174652
1296,0.25160676
1297,0.37909538
1298,0.3093608
1299,0.3572656
1300,0.37275583
1301,0.64387953
1302,0.44262502
1303,0.6188238
1304,0.6721701
1305,0.18974373
1306,0.6755909
1307,0.664006
1308,0.5927427
1309,0.621729
1310,0.5879133
1311,0.5346901
1312,0.461764
1313,0.38068444
1314,0.43741417
1315,0.40581143
1316,0.39347747
1317,0.046794027
1318,0.34526783
1319,0.3540069
1320,0.020045966
1321,0.043453306
1322,0.49359685
1323,0.15573439
1324,0.3747201
1325,0.15059179
1326,0.47253984
1327,0.49668398
1328,0.6362821
1329,0.6900013
1330,0.6077404
1331,0.62323666
1332,0.66784465
1333,0.63026506
1334,0.48983595
1335,0.5870128
1336,0.43803135
1337,0.38733712
1338,0.42012718
1339,0.4416289
1340,0.3907147
1341,0.25856715
1342,0.16783914
1343,0.18258509
1344,0.12997258
1345,0.119665295
1346,0.009011835
1347,0.23617575
1348,0.45131227
1349,0.4687785
1350,0.47437605
1351,0.24966854
1352,0.25713652
1353,0.100623965
1354,0.5753384
1355,0.67835104
1356,0.6622617
1357,0.54367846
1358,0.24142087
1359,0.4607004
1360,0.43272915
1361,0.25136155
1362,0.26845407
1363,0.40004712
1364,0.34547156
1365,0.2021423
1366,0.3771267
1367,0.20444387
1368,0.43669587
1369,0.544476
1370,0.2152746
1371,0.5617008
1372,0.020386875
1373,0.55832875
1374,0.5273338
1375,0.086629
1376,0.24449286
1377,0.6653358
1378,0.68112934
1379,0.60592526
1380,0.5875788
1381,0.62260294
1382,0.45244515
1383,0.20433402
1384,0.40501258
1385,0.39091912
1386,0.359698
1387,0.4076901
1388,0.26168668
1389,0.016460866
1390,0.35475484
1391,0.411726
1392,0.062139213
1393,0.38571417
1394,0.08102149
1395,0.05556631
1396,0.40725976
1397,0.41738656
1398,0.5617256
1399,0.13962251
1400,0.5903494
1401,0.6598921
1402,0.6961479
1403,0.6332634
1404,0.61672795
1405,0.5658053
1406,0.24401435
1407,0.54060376
1408,0.36736777
1409,0.072425306
1410,0.2593453
1411,0.23698774
1412,0.19098979
1413,0.37594783
1414,0.4055699
1415,0.34711695
1416,0.40159944
1417,0.13259888
1418,0.14950377
1419,0.24279025
1420,0.31918484
1421,0.2670552
1422,0.22839165
1423,0.10059783
1424,0.63085157
1425,0.6659033
1426,0.63635296
1427,0.70620906
1428,0.6825454
1429,0.6023931
1430,0.47776064
1431,0.49645114
1432,0.39749107
1433,0.37072128
1434,0.26668462
1435,0.26752383
1436,0.254797
1437,0.44628325
1438,0.18974525
1439,0.34880826
1440,0.49795556
1441,0.36242956
1442,0.40349752
1443,0.24110574
1444,0.29490536
1445,0.009316623
1446,0.24996251
1447,0.11716157
1448,0.5937482
1449,0.60330373
1450,0.72209656
1451,0.6668667
1452,0.7198258
1453,0.6843996
1454,0.46268263
1455,0.46404675
1456,0.37700927
1457,0.25777745
1458,0.3709147
1459,0.39158455
1460,0.38012594
1461,0.38157707
1462,0.1487703
1463,0.22621453
1464,0.26073822
1465,0.22187537
1466,0.34824574
1467,0.09334105
1468,0.0463233
1469,0.090179175
1470,0.20226729
1471,0.5344774
1472,0.19201124
1473,0.64396554
1474,0.7511379
1475,0.63614947
1476,0.56926155
1477,0.5537341
1478,0.52382576
1479,0.48880982
1480,0.2587331
1481,0.3690369
1482,0.4030978
1483,0.39028895
1484,0.38718787
1485,0.35489663
1486,0.2591076
1487,0.08821264
1488,0.35821378
1489,0.21854097
1490,0.23856091
1491,0.40117392
1492,0.4818653
1493,0.23954266
1494,0.41412914
1495,0.4294533
1496,0.5774294
1497,0.60040665
1498,0.6941483
1499,0.66270936
1500,0.6898404
1501,0.5727788
1502,0.5830446
1503,0.5413044
1504,0.43421447
1505,0.40774995
1506,0.26877898
1507,0.396748
1508,0.3836953
1509,0.16023183
1510,0.3387104
1511,0.035214365
1512,0.43947455
1513,0.35859266
1514,0.4697602
1515,0.1806376
1516,0.2672339
1517,0.07852048
1518,0.03554213
1519,0.58979475
1520,0.5587666
1521,0.6059945
1522,0.6239165
1523,0.69703376
1524,0.66835225
1525,0.6053928
1526,0.58658475
1527,0.5941914
1528,0.50155586
1529,0.36586297
1530,0.3685715
1531,0.43372527
1532,0.3645191
1533,0.40125704
1534,0.3701213
1535,0.022956997
1536,0.41135073
1537,0.025203288
1538,0.10872522
1539,0.1549353
1540,0.13634938
1541,0.1277641
1542,0.071302354
1543,0.07885432
1544,0.69248897
1545,0.24122038
1546,0.67003864
1547,0.66835177
1548,0.6466247
1549,0.6780563
1550,0.5418993
1551,0.50068927
1552,0.40356046
1553,0.40321034
1554,0.25354707
1555,0.3933908
1556,0.36625552
1557,0.09393722
1558,0.4201467
1559,0.2602038
1560,0.22247553
1561,0.057909727
1562,0.18864912
1563,0.46830207
1564,0.44854254
1565,0.06477383
1566,0.089794755
1567,0.110289514
1568,0.072933614
1569,0.72868466
1570,0.13952601
1571,0.65366226
1572,0.61652666
1573,0.57353216
1574,0.5841129
1575,0.59491915
1576,0.46322113
1577,0.039923012
1578,0.026764512
1579,0.22912043
1580,0.2612751
1581,0.006632924
1582,0.4382949
1583,0.16559756
1584,0.03602448
1585,0.02538547
1586,0.14538223
1587,0.18305814
1588,0.12128013
1589,0.05677575
1590,0.5356934
1591,0.26437947
1592,0.5962675
1593,0.6775757
1594,0.7163319
1595,0.6994658
1596,0.7033645
1597,0.6226702
1598,0.5872333
1599,0.48826808
1600,0.49378112
1601,0.1145035
1602,0.10017273
1603,0.4361048
1604,0.22801784
1605,0.16286385
1606,0.44457382
1607,0.29762924
1608,0.32907036
1609,0.314901
1610,0.38636458
1611,0.42511538
1612,0.3682158
1613,0.23971456
1614,0.20753169
1615,0.44482398
1616,0.6332127
1617,0.7044523
1618,0.69125
1619,0.62854165
1620,0.6530565
1621,0.60494196
1622,0.567356
1623,0.20479995
1624,0.41140103
1625,0.25326425
1626,0.22292706
1627,0.2107923
1628,0.26505423
1629,0.17134982
1630,0.16468865
1631,0.2057603
1632,0.14210391
1633,0.010188013
1634,0.08023521
1635,0.035176218
1636,0.07980028
1637,0.3906206
1638,0.12799257
1639,0.15431541
1640,0.16856718
1641,0.68785655
1642,0.59700876
1643,0.7002597
1644,0.6131729
1645,0.5650574
1646,0.16204095
1647,0.22454962
1648,0.45741802
1649,0.26348698
1650,0.21473682
1651,0.24413711
1652,0.2072537
1653,0.2011474
1654,0.44891986
1655,0.4552435
1656,0.08079055
1657,0.35933685
1658,0.11849138
1659,0.25970745
1660,0.20175344
1661,0.20194614
1662,0.26323432
1663,0.19422114
1664,0.6224618
1665,0.60532165
1666,0.6812358
1667,0.23323178
1668,0.70018953
1669,0.54623085
1670,0.5992956
